CODE_ISO;GMDNR;GMDNAME;AREA_HA;ACODE;ACAT;ANAME;E_CNTR;N_CNTR
CH;2919;Stetten (SH);472;T_2939;4;Schaffhausen (CH);2691800;1288400
CH;2920;Thayngen;1992;T_2939;4;Schaffhausen (CH);2695100;1289300
CH;2931;Bargen (SH);827;T_2939;4;Schaffhausen (CH);2687900;1294100
CH;2932;Beringen;1868;T_2939;4;Schaffhausen (CH);2685300;1283700
CH;2933;Buchberg;586;261;4;Zürich;2684500;1269700
CH;2936;Merishausen;1756;T_2939;4;Schaffhausen (CH);2687700;1290700
CH;2937;Neuhausen am Rheinfall;800;T_2939;2;Schaffhausen (CH);2688500;1281900
CH;2938;Rüdlingen;551;261;4;Zürich;2684600;1270700
CH;2939;Schaffhausen;4185;T_2939;1;Schaffhausen (CH);2689600;1283800
CH;2953;Siblingen;942;T_2939;4;Schaffhausen (CH);2681200;1285400
CH;3001;Herisau;2520;3203;3;St. Gallen;2738700;1250300
CH;3002;Hundwil;2408;3203;4;St. Gallen;2742000;1247700
CH;3003;Schönengrund;519;3203;4;St. Gallen;2735200;1243200
CH;3004;Schwellbrunn;1742;3203;4;St. Gallen;2736800;1246100
CH;3005;Stein (AR);936;3203;4;St. Gallen;2743900;1248700
CH;3007;Waldstatt;675;3203;4;St. Gallen;2739500;1246700
CH;3023;Speicher;818;3203;4;St. Gallen;2751200;1253100
CH;3024;Teufen (AR);1525;3203;4;St. Gallen;2747100;1250700
CH;3025;Trogen;1003;3203;4;St. Gallen;2752900;1252800
CH;3034;Rehetobel;672;3203;4;St. Gallen;2754200;1254800
CH;3201;Häggenschwil;907;3203;4;St. Gallen;2743400;1262100
CH;3202;Muolen;1033;3203;4;St. Gallen;2742000;1265100
CH;3203;St. Gallen;3938;3203;1;St. Gallen;2746200;1254600
CH;3204;Wittenbach;1220;3203;2;St. Gallen;2746300;1258700
CH;3211;Berg (SG);376;3203;4;St. Gallen;2748300;1261300
CH;3212;Eggersriet;890;3203;4;St. Gallen;2753400;1256600
CH;3213;Goldach;471;4401;2;Arbon – Rorschach;2752800;1260000
CH;3214;Mörschwil;984;3203;4;St. Gallen;2749600;1259500
CH;3215;Rorschach;178;4401;1;Arbon – Rorschach;2754800;1260700
